Zona,PrecioM2
801903032,2906.34
801903007,2888.95
801903029,2865.74
801903031,2838.95
801903211,2831.36
801903039,2779.4
801903066,2758.2
801903033,2620.33
801903026,2539.63
801904052,7409.05
801904055,7224.71
801904048,6901.41
801904053,6811.09
801904056,6461.97
801904050,6317.33
801904027,6149.71
801904019,5999.54
801904024,5963.04
801904025,5950.88
801904051,5800.7
801904054,5796.75
801904021,5787.81
801904020,5766.87
801904026,5653.95
801904003,5646.52
801904013,5633.89
801904028,5553.34
801904022,5501.79
801904012,5441.84
801904023,5280.01
801904004,5206.77
801904049,5117.46
801904029,5113.01
801904084,4992.31
801904008,4836.21
801904018,4794.88
801904015,4752.55
801904031,4711.29
801904017,4693.69
801904009,4674.68
801904011,4647.39
801904001,4559.38
801904006,4491.2
801904016,4476.98
801904005,4441.87
801904010,4438.75
801904014,4425.66
801904037,4352.34
801904043,4343.07
801904034,4333.54
801904002,4313.11
801904039,4290.76
801904032,4266.66
801904030,4263.43
801904007,4226.24
801904047,4222.13
801904036,4203.74
801904046,4181.57
801904033,4136.16
801904038,4055.65
801904035,4034.16
801904040,3924.14
801904042,3900.1
801904045,3741.54
801904044,3534.12
801904041,3060.6
801907001,4503.03
801907018,4294.08
801907009,4228.45
801907008,4063.75
801907002,4061.75
801907006,3997.04
801907003,3971.07
801907040,3942.99
801907122,3898.26
801907057,3890.65
801907034,3862.1
801907012,3838.28
801907038,3824.94
801907005,3823.63
801907011,3818.39
801907014,3808.54
801907047,3806.92
801907007,3787.71
801907025,3752.91
801907055,3738.41
801907019,3736.81
801907102,3735.89
801907015,3729.59
801907039,3726.73
801907016,3710.94
801907054,3708.47
801907056,3705.2
801907048,3686.84
801907050,3676.42
801907022,3666.52
801907017,3664.69
801907100,3656.64
801907051,3652.05
801907010,3632.6
801907036,3612.27
801907041,3569.31
801907105,3564.58
801907089,3554.92
801907004,3545.85
801907013,3541.06
801907091,3539.43
801907104,3535.99
801907093,3532.61
801907116,3509.72
801907043,3454.03
801907120,3441.1
801907035,3430.65
801907111,3394.74
801907123,3387.84
801907098,3365.55
801907024,3362.16
801907020,3356.63
801907027,3348.01
801907094,3343.15
801907031,3333.41
801907042,3324.09
801907053,3296.06
801907117,3288.11
801907090,3256.08
801907030,3255.88
801907037,3236.17
801907046,3236.16
801907032,3222.44
801907028,3215.61
801907044,3201.61
801907045,3192.29
801907095,3186.52
801907085,3173.54
801907058,3136.14
801907110,3116.24
801907119,3112.5
801907026,3077.62
801907097,3070.37
801907112,3051.23
801907033,3041.89
801907052,3037.15
801907115,3000.65
801907096,2993.65
801907086,2990.96
801907021,2986.98
801907072,2975.62
801907107,2944.68
801907106,2943.47
801907079,2936.13
801907108,2921.88
801907049,2911.76
801907101,2908.33
801907029,2882.0
801907023,2873.33
801907071,2872.45
801907060,2830.7
801907088,2829.73
801907113,2810.15
801907114,2789.48
801907070,2741.17
801907081,2738.53
801907074,2714.79
801907073,2672.36
801907084,2656.42
801907109,2655.5
801907061,2651.37
801907075,2627.81
801907066,2622.64
801907062,2620.08
801907082,2595.01
801907118,2591.53
801907087,2574.52
801907080,2551.59
801907068,2500.75
801907067,2496.76
801907103,2489.41
801907065,2487.98
801907083,2481.15
801907092,2469.26
801907059,2412.64
801907076,2399.8
801907063,2337.98
801907078,2297.11
801907077,2123.31
801907069,2042.89
801907064,2040.66
801908002,3719.63
801908005,3490.48
801908014,3480.35
801908010,3455.2
801908009,3377.16
801908012,3369.67
801908028,3334.91
801908024,3312.64
801908036,3311.01
801908016,3303.98
801908050,3302.58
801908015,3299.27
801908007,3242.67
801908013,3182.78
801908011,3160.61
801908008,3124.28
801908022,3112.55
801908003,3092.81
801908006,3089.36
801908046,3047.34
801908026,3046.42
801908004,3043.18
